№; ;Район;Адрес аварии;Контактные данны;Что случилось;Диспетчерские наименования;;массовость;Отметка о выполнении;Бригада;Исполнено;Дата поступления заявки;Дата выполнения заявки;;
1;Г;;ТРП-56 за Корчагина, 19-Б кор. 2 и водолазной школой, вдоль забора - оборван провод;;;;;;;Б;И;;;;
2;Г;;Котовского, 9;;закрепить СИП на фасаде;1046;9;;;;;;;;
3;Г;;Победы, 53;;перепады напр;917;4;;;;;;;;
4;Г;;Рабочая, 18;;снять ПКЭЭ;30;8;;;Г;И;;;;
5;Г;;6-ая Бастионная, 45;;нет ээ;1537;4;;;;И;;;;
6;Г;;Луначарского, 9;;замена ВА;27;13;;;Г;И;;;;
7;С;;;;отключить для замены ТТ;8173;4;;;;И;;;;
8;Г;;сделать замеры;;сделать замеры;2900;;;;;;;;;
9;Г;;сделать замеры;;сделать замеры;2212;;;;;;;;;
10;Г;;острякова, 92;;замер I и U в ТП и на ГБР, при необход - распред нагр. или перекл анц;496;7;;;;;;;;
11;Г;;Батумская, 35;;нет ээ;1008;15;;;Г;И;;;;
12;Г;;Крестьянская, 2;;пропадает ээ;986;6;;;;;;;;
13;Г;;Юмашева, 15-Б;;откл для рем работ УК;1047;18;;;Б;И;откл;;;
14;С;Кача;Ударная, 44;;низкое напр;241;25;;;;;;;;
15;Г;;1138;;перекл анц;1138;;;;;;;;;
16;Г;;Частника, 37;;дерево на ВЛ;486;7;;;;И;;;;
17;Г;Фиолент;ТСН Слип 122;;обрыв ввода;2250;2;;;Б;И;;;;
18;Б;;ВЛ-0,4 кВ ТП-616 л. 6;;заменить 1 пролёт на СИП;616;6;;;;;;;;
19;Г;;ТСН Троллейбусник-1 уч. 17;;нет 1 ф;2213;2;;;Г;;;;;
20;;;;;;;;;;;;;;;
21;Г;;ПОР 67 ООО Ветта;;нет ээ;593;1, 8, 10;;;;И;;;;
22;Г;;перекрёсток Пожарова/Карантинная БСМС;;низкое по 2 ф;1537;4;;;;;;;;
23;Г;;ВЛ-0,4 кВ ТП-286 л. 4;;определить сечение каб линии от ТП до оп №1 и каб. Вставки под ВЛ35кВ;286;4;;;;;;;;
24;Г;;Т. Шевченко, 19-А;;нет 1 ф;1136;28;;;;И;;;;
25;Б;;Вечерняя, 5;;пропадает ээ;381;10;;;;;;;;
26;Г;;Планерная, 23;;замена ВА;1585;1;;;;;;;;
27;Г;;Революции 1905, 74;;отгорел ввод;11;4;;;;;;;;
29;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;
40;;;;;;;;;;;;;;;
41;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;
43;;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;;
45;;;;;;;;;;;;;;;
46;;;;;;;;;;;;;;;
47;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;
49;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;;
56;;;;;;;;;;;;;;;
57;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;;
62;;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;;
64;;;;;;;;;;;;;;;
65;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;;
67;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;;
69;;;;;;;;;;;;;;;
70;;;;;;;;;;;;;;;
71;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;
73;;;;;;;;;;;;;;;
74;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;
